RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.5708, -4.87609e-20, -1.57},RPY {-1.57083, 3.97681e-05, -1.57173},
